locus_tag	ftype	length_bp	gene	EC_number	COG	product
FDGAGDLB_02113	CDS	840				hypothetical protein
FDGAGDLB_02114	CDS	897				hypothetical protein
FDGAGDLB_02115	CDS	777	petC		COG2857	Cytochrome c1
FDGAGDLB_02116	CDS	1269	petB		COG1290	Cytochrome b
FDGAGDLB_02117	CDS	552	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
FDGAGDLB_02118	CDS	480	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
FDGAGDLB_02119	CDS	912	hemF	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
FDGAGDLB_02120	CDS	918	rhaS_6			HTH-type transcriptional activator RhaS
FDGAGDLB_02121	CDS	825	xecD	1.1.1.268		2-(R)-hydroxypropyl-CoM dehydrogenase
FDGAGDLB_02122	CDS	150				hypothetical protein
FDGAGDLB_02123	CDS	579				hypothetical protein
FDGAGDLB_02124	CDS	888	gcvA_8			Glycine cleavage system transcriptional activator
FDGAGDLB_02125	CDS	1527	betC	3.1.6.6	COG3119	Choline-sulfatase
FDGAGDLB_02126	CDS	1650	betS			Glycine betaine/proline betaine transporter BetS
FDGAGDLB_02127	CDS	651	yibF_3		COG0625	putative GST-like protein YibF
FDGAGDLB_02128	CDS	897	ilvE_2	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
FDGAGDLB_02129	CDS	525				hypothetical protein
FDGAGDLB_02130	CDS	732	ompR_1			Transcriptional regulatory protein OmpR
FDGAGDLB_02131	CDS	1335	sasA_9	2.7.-.-		Adaptive-response sensory-kinase SasA
FDGAGDLB_02132	CDS	696				hypothetical protein
FDGAGDLB_02133	CDS	402	yjgH		COG0251	RutC family protein YjgH
FDGAGDLB_02134	CDS	606				hypothetical protein
FDGAGDLB_02135	CDS	678	gntR_2			putative D-xylose utilization operon transcriptional repressor
FDGAGDLB_02136	CDS	777	fpr	1.18.1.2	COG1018	Ferredoxin--NADP reductase
FDGAGDLB_02137	CDS	1491	bdlA_2		COG0840	Biofilm dispersion protein BdlA
FDGAGDLB_02138	CDS	1353	bdlA_3		COG0840	Biofilm dispersion protein BdlA
FDGAGDLB_02139	CDS	345	csaA		COG0073	putative chaperone CsaA
FDGAGDLB_02140	CDS	453				hypothetical protein
FDGAGDLB_02141	CDS	717				hypothetical protein
FDGAGDLB_02142	CDS	816	proC_2	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
FDGAGDLB_02143	CDS	507				hypothetical protein
FDGAGDLB_02144	CDS	315	ubiK			Ubiquinone biosynthesis accessory factor UbiK
FDGAGDLB_02145	CDS	987	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
FDGAGDLB_02146	CDS	852	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
FDGAGDLB_02147	CDS	1128				hypothetical protein
FDGAGDLB_02148	CDS	822		1.10.3.-	COG1496	Polyphenol oxidase
FDGAGDLB_02149	CDS	1155				hypothetical protein
FDGAGDLB_02150	CDS	933	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
FDGAGDLB_02151	CDS	636	rplY			50S ribosomal protein L25
FDGAGDLB_02152	CDS	774	pth	3.1.1.29		Peptidyl-tRNA hydrolase
FDGAGDLB_02153	CDS	1104	ychF		COG0012	Ribosome-binding ATPase YchF
FDGAGDLB_02154	CDS	732				hypothetical protein
FDGAGDLB_02155	CDS	327				hypothetical protein
FDGAGDLB_02156	CDS	669	vgb	4.2.99.-		Virginiamycin B lyase
FDGAGDLB_02157	CDS	534				hypothetical protein
FDGAGDLB_02158	CDS	591	napC			Cytochrome c-type protein NapC
FDGAGDLB_02159	CDS	465	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
FDGAGDLB_02160	CDS	2505	napA	1.9.6.1		Periplasmic nitrate reductase
FDGAGDLB_02161	CDS	252	napD		COG3062	Chaperone NapD
FDGAGDLB_02162	CDS	525	napF		COG1145	Ferredoxin-type protein NapF
FDGAGDLB_02163	CDS	174				hypothetical protein
FDGAGDLB_02164	CDS	1041		1.1.1.1		Alcohol dehydrogenase
FDGAGDLB_02165	CDS	996				hypothetical protein
FDGAGDLB_02166	CDS	924	oxyR_1			Hydrogen peroxide-inducible genes activator
FDGAGDLB_02167	CDS	528		1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
FDGAGDLB_02168	CDS	537	ahpD	1.11.1.15	COG2128	Alkyl hydroperoxide reductase AhpD
FDGAGDLB_02169	CDS	807	menH_3	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
FDGAGDLB_02170	CDS	1203	aatA	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
FDGAGDLB_02171	CDS	2136	uvrB		COG0556	UvrABC system protein B
FDGAGDLB_02172	CDS	1359	mntH			Divalent metal cation transporter MntH
FDGAGDLB_02173	CDS	969	msrP_1	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
FDGAGDLB_02174	CDS	894	oxyR_2			Hydrogen peroxide-inducible genes activator
FDGAGDLB_02175	CDS	876		4.2.1.-	COG4336	Putative hydro-lyase
FDGAGDLB_02176	CDS	1053				hypothetical protein
FDGAGDLB_02177	CDS	549				hypothetical protein
FDGAGDLB_02178	CDS	1281	dctM_5		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
FDGAGDLB_02179	CDS	684				hypothetical protein
FDGAGDLB_02180	CDS	1275	cnbH	3.5.99.5		2-amino-5-chloromuconic acid deaminase
FDGAGDLB_02181	CDS	633				hypothetical protein
FDGAGDLB_02182	CDS	1335				hypothetical protein
FDGAGDLB_02183	CDS	1284	intS		COG0582	Prophage integrase IntS
FDGAGDLB_02184	CDS	816				hypothetical protein
FDGAGDLB_02185	CDS	180				hypothetical protein
FDGAGDLB_02186	CDS	165				hypothetical protein
FDGAGDLB_02187	CDS	282				hypothetical protein
FDGAGDLB_02188	CDS	459				hypothetical protein
FDGAGDLB_02189	CDS	708				hypothetical protein
FDGAGDLB_02190	CDS	363				hypothetical protein
FDGAGDLB_02191	CDS	912				hypothetical protein
FDGAGDLB_02192	CDS	267				hypothetical protein
FDGAGDLB_02193	CDS	204				hypothetical protein
FDGAGDLB_02194	CDS	939	dmlR_9			HTH-type transcriptional regulator DmlR
FDGAGDLB_02195	CDS	951	trxB	1.8.1.9	COG0492	Thioredoxin reductase
FDGAGDLB_02196	CDS	486	lrp_7		COG1522	Leucine-responsive regulatory protein
FDGAGDLB_02197	CDS	477				hypothetical protein
FDGAGDLB_02198	CDS	459	greA		COG0782	Transcription elongation factor GreA
FDGAGDLB_02199	CDS	3243	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
FDGAGDLB_02200	CDS	1170	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
FDGAGDLB_02201	CDS	456	yqeY		COG1610	putative protein YqeY
FDGAGDLB_02202	CDS	1869	dnaG	2.7.7.-		DNA primase
FDGAGDLB_02203	CDS	2094	rpoD		COG0568	RNA polymerase sigma factor RpoD
FDGAGDLB_02204	tRNA	77				tRNA-Met(cat)
FDGAGDLB_02205	CDS	1086	xerC_2			Tyrosine recombinase XerC
FDGAGDLB_02206	CDS	192				hypothetical protein
FDGAGDLB_02207	CDS	669				hypothetical protein
FDGAGDLB_02208	CDS	192				hypothetical protein
FDGAGDLB_02209	CDS	918				hypothetical protein
FDGAGDLB_02210	CDS	2655				hypothetical protein
FDGAGDLB_02211	CDS	282				hypothetical protein
FDGAGDLB_02212	CDS	267				hypothetical protein
FDGAGDLB_02213	CDS	195				hypothetical protein
FDGAGDLB_02214	CDS	396				hypothetical protein
FDGAGDLB_02215	CDS	648				hypothetical protein
FDGAGDLB_02216	CDS	690				hypothetical protein
FDGAGDLB_02217	CDS	228				hypothetical protein
FDGAGDLB_02218	CDS	516				hypothetical protein
FDGAGDLB_02219	CDS	447				hypothetical protein
FDGAGDLB_02220	CDS	672				hypothetical protein
FDGAGDLB_02221	CDS	981				hypothetical protein
FDGAGDLB_02222	CDS	420				hypothetical protein
FDGAGDLB_02223	CDS	285				hypothetical protein
FDGAGDLB_02224	CDS	2475				hypothetical protein
FDGAGDLB_02225	CDS	138				hypothetical protein
FDGAGDLB_02226	CDS	315				hypothetical protein
FDGAGDLB_02227	CDS	516				hypothetical protein
FDGAGDLB_02228	CDS	1173	gpFI			Putative prophage major tail sheath protein
FDGAGDLB_02229	CDS	678				hypothetical protein
FDGAGDLB_02230	CDS	2322				hypothetical protein
FDGAGDLB_02231	CDS	897				hypothetical protein
FDGAGDLB_02232	CDS	636				hypothetical protein
FDGAGDLB_02233	CDS	930				hypothetical protein
FDGAGDLB_02234	CDS	348				hypothetical protein
FDGAGDLB_02235	CDS	294				hypothetical protein
FDGAGDLB_02236	CDS	507				hypothetical protein
FDGAGDLB_02237	CDS	465				hypothetical protein
FDGAGDLB_02238	CDS	426				hypothetical protein
FDGAGDLB_02239	CDS	135				hypothetical protein
FDGAGDLB_02240	CDS	378				hypothetical protein
FDGAGDLB_02241	CDS	450	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
FDGAGDLB_02242	CDS	213				hypothetical protein
FDGAGDLB_02243	CDS	195				hypothetical protein
FDGAGDLB_02244	CDS	201				hypothetical protein
FDGAGDLB_02245	CDS	459				hypothetical protein
FDGAGDLB_02246	CDS	660				hypothetical protein
FDGAGDLB_02247	CDS	1008				hypothetical protein
FDGAGDLB_02248	CDS	786				hypothetical protein
FDGAGDLB_02249	CDS	1785				hypothetical protein
FDGAGDLB_02250	CDS	804				hypothetical protein
FDGAGDLB_02251	CDS	210				hypothetical protein
FDGAGDLB_02252	CDS	243				hypothetical protein
FDGAGDLB_02253	CDS	606				hypothetical protein
FDGAGDLB_02254	CDS	834				hypothetical protein
FDGAGDLB_02255	CDS	405				hypothetical protein
FDGAGDLB_02256	CDS	543				hypothetical protein
FDGAGDLB_02257	CDS	705				hypothetical protein
FDGAGDLB_02258	CDS	249				hypothetical protein
FDGAGDLB_02259	CDS	1230	bcr_1			Bicyclomycin resistance protein
FDGAGDLB_02260	CDS	135				hypothetical protein
FDGAGDLB_02261	CDS	1023	thlA_2	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
FDGAGDLB_02262	CDS	573	nemR			HTH-type transcriptional repressor NemR
FDGAGDLB_02263	CDS	1119	mdtA_3			Multidrug resistance protein MdtA
FDGAGDLB_02264	CDS	3114	cnrA			Nickel and cobalt resistance protein CnrA
FDGAGDLB_02265	CDS	303				hypothetical protein
FDGAGDLB_02266	CDS	174				hypothetical protein
FDGAGDLB_02267	CDS	303				hypothetical protein
FDGAGDLB_02268	CDS	1005				Zinc-type alcohol dehydrogenase-like protein
FDGAGDLB_02269	CDS	357				hypothetical protein
FDGAGDLB_02270	CDS	837	cpo	1.11.1.10		Non-heme chloroperoxidase
FDGAGDLB_02271	CDS	102				hypothetical protein
FDGAGDLB_02272	CDS	1623	betA_1	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
FDGAGDLB_02273	CDS	870	pgrR_4			HTH-type transcriptional regulator PgrR
FDGAGDLB_02274	CDS	315				hypothetical protein
FDGAGDLB_02275	CDS	1512	gbsA	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
FDGAGDLB_02276	CDS	1590	entS_2			Enterobactin exporter EntS
FDGAGDLB_02277	CDS	414				hypothetical protein
FDGAGDLB_02278	CDS	273				hypothetical protein
FDGAGDLB_02279	CDS	1863	nfdA	3.5.1.91		N-substituted formamide deformylase
FDGAGDLB_02280	CDS	678	ycaC_1	4.-.-.-	COG1335	putative hydrolase YcaC
FDGAGDLB_02281	CDS	636	rhtB_5		COG1280	Homoserine/homoserine lactone efflux protein
FDGAGDLB_02282	CDS	645	ycaC_2	4.-.-.-	COG1335	putative hydrolase YcaC
FDGAGDLB_02283	CDS	924	dmlR_10			HTH-type transcriptional regulator DmlR
FDGAGDLB_02284	CDS	936				hypothetical protein
FDGAGDLB_02285	CDS	948	dmlR_11			HTH-type transcriptional regulator DmlR
FDGAGDLB_02286	CDS	1128	iolX_1	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
FDGAGDLB_02287	CDS	831	murR			HTH-type transcriptional regulator MurR
FDGAGDLB_02288	CDS	1005	iolG_2	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
FDGAGDLB_02289	CDS	942				hypothetical protein
FDGAGDLB_02290	CDS	1098	xylH_1		COG4214	Xylose transport system permease protein XylH
FDGAGDLB_02291	CDS	780	frcA_3	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
FDGAGDLB_02292	CDS	1914	iolC	2.7.1.92		5-dehydro-2-deoxygluconokinase
FDGAGDLB_02293	CDS	1830	iolD	3.7.1.22	COG3962	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase
FDGAGDLB_02294	CDS	918	iolE_2	4.2.1.44	COG1082	Inosose dehydratase
FDGAGDLB_02295	CDS	804	iolB	5.3.1.30	COG3718	5-deoxy-glucuronate isomerase
FDGAGDLB_02296	CDS	780				hypothetical protein
FDGAGDLB_02297	CDS	1488	imuB			Protein ImuB
FDGAGDLB_02298	CDS	3339	dnaE2	2.7.7.7		Error-prone DNA polymerase
FDGAGDLB_02299	CDS	687	idnD	1.1.1.264	COG1063	L-idonate 5-dehydrogenase (NAD(P)(+))
FDGAGDLB_02300	CDS	1275	siaM_4		COG1593	Sialic acid TRAP transporter large permease protein SiaM
FDGAGDLB_02301	CDS	510				hypothetical protein
FDGAGDLB_02302	CDS	978			COG1638	Solute-binding protein
FDGAGDLB_02303	CDS	711	rspR_4		COG1802	HTH-type transcriptional repressor RspR
FDGAGDLB_02304	CDS	1215	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
FDGAGDLB_02305	CDS	1455	uxaB_2	1.1.1.58		Altronate oxidoreductase
FDGAGDLB_02306	CDS	897	kdgK_2	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
FDGAGDLB_02307	CDS	1047	malK_4	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
FDGAGDLB_02308	CDS	1620				hypothetical protein
FDGAGDLB_02309	CDS	843	araQ_2		COG0395	L-arabinose transport system permease protein AraQ
FDGAGDLB_02310	CDS	405	lacF_2			Lactose transport system permease protein LacF
FDGAGDLB_02311	CDS	435				hypothetical protein
FDGAGDLB_02312	CDS	1257	araN		COG1653	putative arabinose-binding protein
FDGAGDLB_02313	CDS	1041	purR_3			HTH-type transcriptional repressor PurR
FDGAGDLB_02314	CDS	822	dppA_2	3.4.11.-	COG2362	D-aminopeptidase
FDGAGDLB_02315	CDS	1050		3.4.11.25		Beta-peptidyl aminopeptidase BapA
FDGAGDLB_02316	CDS	903	gsiD		COG1173	Glutathione transport system permease protein GsiD
FDGAGDLB_02317	CDS	921	gsiC_2		COG0601	Glutathione transport system permease protein GsiC
FDGAGDLB_02318	CDS	1542	gsiB		COG0747	Glutathione-binding protein GsiB
FDGAGDLB_02319	CDS	1830	gsiA_2	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
FDGAGDLB_02320	CDS	945	iaaA	3.4.19.5	COG1446	Isoaspartyl peptidase
FDGAGDLB_02321	CDS	903	yjiE			HTH-type transcriptional regulator YjiE
FDGAGDLB_02322	CDS	1023	purR_4			HTH-type transcriptional repressor PurR
FDGAGDLB_02323	CDS	1323				hypothetical protein
FDGAGDLB_02324	CDS	948	melD_4		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
FDGAGDLB_02325	CDS	939	sugB_2		COG0395	Trehalose transport system permease protein SugB
FDGAGDLB_02326	CDS	189				hypothetical protein
FDGAGDLB_02327	CDS	1098	sugC_1	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
FDGAGDLB_02328	CDS	996	malK_5	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
FDGAGDLB_02329	CDS	1623	dhaK	2.7.1.29		Dihydroxyacetone kinase
FDGAGDLB_02330	CDS	834				hypothetical protein
FDGAGDLB_02331	CDS	1329				hypothetical protein
FDGAGDLB_02332	CDS	897				hypothetical protein
FDGAGDLB_02333	CDS	867	dasC_2		COG0395	Diacetylchitobiose uptake system permease protein DasC
FDGAGDLB_02334	CDS	1086	msmX_2	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
FDGAGDLB_02335	CDS	1119	menC	4.2.1.113		o-succinylbenzoate synthase
FDGAGDLB_02336	CDS	330	rhaM	5.1.3.32		L-rhamnose mutarotase
FDGAGDLB_02337	CDS	1056				hypothetical protein
FDGAGDLB_02338	CDS	447				hypothetical protein
FDGAGDLB_02339	CDS	315	uxaA	4.2.1.7	COG2721	Altronate dehydratase
FDGAGDLB_02340	CDS	1203	suyB	4.4.1.24	COG2721	(2R)-sulfolactate sulfo-lyase subunit beta
FDGAGDLB_02341	CDS	738		1.1.1.-		2-keto-3-deoxy-L-fuconate dehydrogenase
FDGAGDLB_02342	CDS	840		4.3.2.3		Ureidoglycolate lyase
FDGAGDLB_02343	CDS	1134	uctC_1	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
FDGAGDLB_02344	CDS	1140				hypothetical protein
FDGAGDLB_02345	CDS	795	kdgR		COG1414	Transcriptional regulator KdgR
FDGAGDLB_02346	CDS	939		1.1.1.215	COG1052	2-ketogluconate reductase
FDGAGDLB_02347	CDS	1131	btuD_8	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
FDGAGDLB_02348	CDS	693	modB		COG4149	Molybdenum transport system permease protein ModB
FDGAGDLB_02349	CDS	822	modA		COG0725	Molybdate-binding protein ModA
FDGAGDLB_02350	CDS	519				hypothetical protein
FDGAGDLB_02351	CDS	690	polC	2.7.7.7	COG2176	DNA polymerase III PolC-type
FDGAGDLB_02352	CDS	1869				hypothetical protein
FDGAGDLB_02353	CDS	1767	actP		COG4147	Cation/acetate symporter ActP
FDGAGDLB_02354	CDS	261				hypothetical protein
FDGAGDLB_02355	CDS	1680	ettA		COG0488	Energy-dependent translational throttle protein EttA
FDGAGDLB_02356	CDS	651				hypothetical protein
FDGAGDLB_02357	CDS	699	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
FDGAGDLB_02358	CDS	966	COQ5_5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
FDGAGDLB_02359	CDS	894	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
FDGAGDLB_02360	CDS	1068	metH_1	2.1.1.13	COG0646	Methionine synthase
FDGAGDLB_02361	CDS	2646	metH_2	2.1.1.13	COG0646	Methionine synthase
FDGAGDLB_02362	CDS	1245	bcr_2			Bicyclomycin resistance protein
FDGAGDLB_02363	CDS	1794	clcB			Voltage-gated ClC-type chloride channel ClcB
FDGAGDLB_02364	CDS	1104	wbpI	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
FDGAGDLB_02365	CDS	2355	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
FDGAGDLB_02366	CDS	882	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
FDGAGDLB_02367	CDS	738	ygfF	1.-.-.-		putative oxidoreductase YgfF
FDGAGDLB_02368	CDS	192				hypothetical protein
FDGAGDLB_02369	CDS	2025				hypothetical protein
FDGAGDLB_02370	CDS	1056	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
FDGAGDLB_02371	CDS	909	oxyR_3			Hydrogen peroxide-inducible genes activator
FDGAGDLB_02372	CDS	969				hypothetical protein
FDGAGDLB_02373	CDS	573				hypothetical protein
FDGAGDLB_02374	CDS	393				hypothetical protein
FDGAGDLB_02375	CDS	2109	ligA	6.5.1.2	COG0272	DNA ligase
FDGAGDLB_02376	CDS	1671	recN		COG0497	DNA repair protein RecN
FDGAGDLB_02377	CDS	831	bamD		COG4105	Outer membrane protein assembly factor BamD
FDGAGDLB_02378	CDS	984	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
FDGAGDLB_02379	CDS	1131	ftsZ_1			Cell division protein FtsZ
FDGAGDLB_02380	CDS	579	ftsZ_2			Cell division protein FtsZ
FDGAGDLB_02381	CDS	1251	ftsA		COG0849	Cell division protein FtsA
FDGAGDLB_02382	CDS	1260				putative sugar-binding periplasmic protein
FDGAGDLB_02383	CDS	894	melD_5		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
FDGAGDLB_02384	CDS	879	ngcG_2		COG0395	Diacetylchitobiose uptake system permease protein NgcG
FDGAGDLB_02385	CDS	1107	sugC_2	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
FDGAGDLB_02386	CDS	969	rafR_3			HTH-type transcriptional regulator RafR
FDGAGDLB_02387	CDS	192				hypothetical protein
FDGAGDLB_02388	CDS	882	ftsQ			Cell division protein FtsQ
FDGAGDLB_02389	CDS	915	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
FDGAGDLB_02390	CDS	945	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
FDGAGDLB_02391	CDS	1422	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
FDGAGDLB_02392	CDS	1206	murG_1	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
FDGAGDLB_02393	CDS	384				hypothetical protein
FDGAGDLB_02394	CDS	306				hypothetical protein
FDGAGDLB_02395	CDS	279				hypothetical protein
FDGAGDLB_02396	CDS	459				hypothetical protein
FDGAGDLB_02397	CDS	1140	ftsW	2.4.1.129		putative peptidoglycan glycosyltransferase FtsW
FDGAGDLB_02398	CDS	1395	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
FDGAGDLB_02399	CDS	1089	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
FDGAGDLB_02400	CDS	1425	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
FDGAGDLB_02401	CDS	1461	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
FDGAGDLB_02402	CDS	390	ftsI_1	3.4.16.4		Peptidoglycan D,D-transpeptidase FtsI
FDGAGDLB_02403	CDS	750	ftsI_2	3.4.16.4		Peptidoglycan D,D-transpeptidase FtsI
FDGAGDLB_02404	CDS	432				hypothetical protein
FDGAGDLB_02405	CDS	990	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
FDGAGDLB_02406	CDS	504	mraZ			Transcriptional regulator MraZ
FDGAGDLB_02407	CDS	768				hypothetical protein
FDGAGDLB_02408	CDS	1116				hypothetical protein
FDGAGDLB_02409	CDS	804				hypothetical protein
FDGAGDLB_02410	CDS	966	cdhR_2		COG4977	HTH-type transcriptional regulator CdhR
FDGAGDLB_02411	CDS	558	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
FDGAGDLB_02412	CDS	621				hypothetical protein
FDGAGDLB_02413	CDS	471				hypothetical protein
FDGAGDLB_02414	CDS	810				hypothetical protein
FDGAGDLB_02415	CDS	723	amiD_2	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
FDGAGDLB_02416	CDS	891	eamA_4		COG0697	putative amino-acid metabolite efflux pump
FDGAGDLB_02417	CDS	1827	uup		COG0488	ABC transporter ATP-binding protein uup
FDGAGDLB_02418	CDS	780	djlA		COG1076	Co-chaperone protein DjlA
FDGAGDLB_02419	CDS	1995				hypothetical protein
FDGAGDLB_02420	CDS	159				hypothetical protein
FDGAGDLB_02421	CDS	1965				hypothetical protein
FDGAGDLB_02422	CDS	510				hypothetical protein
FDGAGDLB_02423	CDS	750		1.-.-.-		putative oxidoreductase
FDGAGDLB_02424	CDS	975			COG1638	Solute-binding protein
FDGAGDLB_02425	CDS	513				hypothetical protein
FDGAGDLB_02426	CDS	1302	dctM_6		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
FDGAGDLB_02427	CDS	3645				hypothetical protein
FDGAGDLB_02428	CDS	285				hypothetical protein
FDGAGDLB_02429	CDS	363				hypothetical protein
FDGAGDLB_02430	CDS	1677				hypothetical protein
FDGAGDLB_02431	CDS	354				hypothetical protein
FDGAGDLB_02432	CDS	369				hypothetical protein
FDGAGDLB_02433	CDS	477	mshD	2.3.1.189		Mycothiol acetyltransferase
FDGAGDLB_02434	CDS	1002				hypothetical protein
FDGAGDLB_02435	CDS	708				putative protein
FDGAGDLB_02436	CDS	1404		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
FDGAGDLB_02437	CDS	1086				hypothetical protein
FDGAGDLB_02438	CDS	837				hypothetical protein
FDGAGDLB_02439	CDS	3558				hypothetical protein
FDGAGDLB_02440	CDS	1476				hypothetical protein
FDGAGDLB_02441	CDS	555	yhhQ		COG1738	Queuosine precursor transporter
FDGAGDLB_02442	CDS	1053	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
FDGAGDLB_02443	CDS	1143	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
FDGAGDLB_02444	CDS	468	queF	1.7.1.13		NADPH-dependent 7-cyano-7-deazaguanine reductase
FDGAGDLB_02445	CDS	525	fecI_3		COG1595	putative RNA polymerase sigma factor FecI
FDGAGDLB_02446	CDS	1050				hypothetical protein
FDGAGDLB_02447	CDS	2481	fhuA_3		COG1629	Ferrichrome outer membrane transporter/phage receptor
FDGAGDLB_02448	CDS	1167	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
FDGAGDLB_02449	CDS	780	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
FDGAGDLB_02450	CDS	267				hypothetical protein
FDGAGDLB_02451	CDS	1929	asnB_2	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
FDGAGDLB_02452	CDS	1095	rcsC_7	2.7.13.3		Sensor histidine kinase RcsC
FDGAGDLB_02453	CDS	897				hypothetical protein
FDGAGDLB_02454	CDS	1377	spuC_2	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
FDGAGDLB_02455	CDS	831	kce_2	2.3.1.247		3-keto-5-aminohexanoate cleavage enzyme
FDGAGDLB_02456	CDS	978				hypothetical protein
FDGAGDLB_02457	CDS	2604				hypothetical protein
FDGAGDLB_02458	CDS	429	uspF		COG0589	Universal stress protein F
FDGAGDLB_02459	CDS	480				hypothetical protein
FDGAGDLB_02460	CDS	873	egtB	1.14.99.50		Hercynine oxygenase
FDGAGDLB_02461	CDS	741				hypothetical protein
FDGAGDLB_02462	CDS	399				Cytochrome c2
FDGAGDLB_02463	CDS	1137				hypothetical protein
FDGAGDLB_02464	CDS	1392	dctM_7		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
FDGAGDLB_02465	CDS	585				hypothetical protein
FDGAGDLB_02466	CDS	1062	takP_2		COG4663	Alpha-keto acid-binding periplasmic protein TakP
FDGAGDLB_02467	tRNA	77				tRNA-Pro(cgg)
FDGAGDLB_02468	CDS	1281				hypothetical protein
FDGAGDLB_02469	CDS	798				hypothetical protein
FDGAGDLB_02470	tRNA	77				tRNA-Pro(cgg)
FDGAGDLB_02471	CDS	1011	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
FDGAGDLB_02472	CDS	258				hypothetical protein
